id,match_id,player_id,player_name,equipo,tick,hora
648,245,209,THIAGO,Red,57,
649,246,199,!    𝕒𝕣𝕚𝕤𝕥𝕠 ¿?    ,Red,74,
650,246,212,ᴇsᴛᴇʙᴀɴ ʀᴏʟᴏɴ,Blue,81,
651,246,201,judas,Red,99,
652,246,201,judas,Red,103,
653,247,212,ᴇsᴛᴇʙᴀɴ ʀᴏʟᴏɴ,Red,87,
654,247,201,judas,Blue,125,
655,247,212,ᴇsᴛᴇʙᴀɴ ʀᴏʟᴏɴ,Red,182,
656,248,199,!    𝕒𝕣𝕚𝕤𝕥𝕠 ¿?    ,Red,65,
657,248,2,tnt,Red,87,
658,248,199,!    𝕒𝕣𝕚𝕤𝕥𝕠 ¿?    ,Red,125,
659,249,199,!    𝕒𝕣𝕚𝕤𝕥𝕠 ¿?    ,Red,7,
660,249,201,judas,Red,32,
661,249,210,Wanchope,Red,101,
662,250,216,todasbutas,Red,54,
663,250,210,Wanchope,Red,116,
664,250,210,Wanchope,Red,157,
665,251,215,furpo,Blue,22,
666,251,201,judas,Blue,49,
667,251,210,Wanchope,Blue,169,
668,252,198,styx,Blue,41,
669,252,199,!    𝕒𝕣𝕚𝕤𝕥𝕠 ¿?    ,Blue,156,
670,252,199,!    𝕒𝕣𝕚𝕤𝕥𝕠 ¿?    ,Blue,165,
671,253,215,furpo,Blue,102,
672,253,199,!    𝕒𝕣𝕚𝕤𝕥𝕠 ¿?    ,Blue,150,
673,253,215,furpo,Blue,153,
674,254,219,Mr Niggaga (retirado),Red,54,
675,254,219,Mr Niggaga (retirado),Red,67,
676,254,201,judas,Red,157,
680,256,201,judas,Blue,39,
681,256,218,· Galoppo ·,Blue,102,
682,257,2,tnt,Blue,40,
686,262,223,Tony Frost,Red,113,
687,262,40, ,Blue,118,
688,262,223,Tony Frost,Red,327,
689,263,222,Mateo Silvetti,Red,83,
690,263,40, ,Blue,89,
691,263,40, ,Blue,152,
692,264,225,fka,Blue,17,
693,264,227,u,Blue,78,
694,264,228,toto,Red,143,
695,264,221,Ale(mc),Blue,161,
696,266,228,toto,Blue,24,
697,267,226,Radix,Red,67,
698,267,221,Ale(mc),Blue,165,
699,267,230,Chila,Blue,204,
700,268,233,ᴘᴇᴘᴇ,Blue,78,
701,270,236,𝖑𝖆𝖚𝖙𝖎𝖇𝖗𝖔,Blue,153,
702,271,228,toto,Blue,77,
703,271,239,"elcolmo""",Blue,129,
704,271,233,ᴘᴇᴘᴇ,Red,177,
705,272,236,𝖑𝖆𝖚𝖙𝖎𝖇𝖗𝖔,Red,20,
706,272,229,gregorio fortnite,Red,36,
707,272,229,gregorio fortnite,Blue,98,
708,272,226,Radix,Blue,113,
709,272,229,gregorio fortnite,Red,200,
710,273,243,cafe,Red,60,
711,273,243,cafe,Red,154,
712,274,229,gregorio fortnite,Red,17,
713,274,2,tnt,Red,92,
714,274,226,Radix,Red,105,
715,275,238,gardelinho,Blue,32,
716,275,243,cafe,Red,61,
717,275,238,gardelinho,Blue,68,
718,275,243,cafe,Red,97,
719,275,243,cafe,Red,116,
720,276,2,tnt,Red,57,
721,276,228,toto,Blue,78,
722,276,226,Radix,Blue,84,
723,276,246,Ceba,Blue,132,
724,277,238,gardelinho,Red,22,
725,277,226,Radix,Blue,28,
726,277,2,tnt,Red,85,
727,277,238,gardelinho,Blue,90,
728,277,226,Radix,Blue,182,
732,279,243,cafe,Blue,165,
733,281,252,Carlitos Palacios,Blue,13,
734,281,238,gardelinho,Red,26,
735,281,252,Carlitos Palacios,Blue,119,
736,281,249,‍kidd,Red,127,
737,281,251,Kiy,Blue,140,
738,282,246,Ceba,Red,267,
739,284,257,b3nj4m1n,Red,141,
740,285,109,Ema,Blue,27,
741,286,252,Carlitos Palacios,Blue,53,
742,286,260,Gula,Blue,77,
743,286,260,Gula,Blue,85,
744,287,263,el ultimo 86,Red,14,
745,287,263,el ultimo 86,Red,46,
746,287,261,ELmaczy4,Red,62,
747,288,255,⚡,Blue,47,
748,288,252,Carlitos Palacios,Red,71,
749,288,2,tnt,Blue,110,
750,288,257,b3nj4m1n,Red,118,
751,288,2,tnt,Blue,135,
752,289,260,Gula,Blue,21,
753,289,265,CHANCHOPE,Red,28,
754,289,260,Gula,Red,80,
755,289,252,Carlitos Palacios,Red,143,
756,290,252,Carlitos Palacios,Red,37,
757,290,255,⚡,Red,47,
758,290,109,Ema,Red,71,
759,291,255,⚡,Red,62,
760,291,260,Gula,Red,154,
761,291,260,Gula,Red,157,
762,292,263,el ultimo 86,Blue,143,
763,292,109,Ema,Red,155,
764,292,109,Ema,Red,219,
765,294,109,Ema,Red,14,
766,294,40, ,Blue,48,
767,294,40, ,Red,58,
768,294,261,ELmaczy4,Red,153,
769,295,273,Salmón 🐟,Red,8,
782,301,275,upamecago.,Blue,117,
783,301,277,Cc,Red,168,
784,301,40, ,Red,182,
785,302,40, ,Red,19,
786,302,277,Cc,Red,42,
787,302,275,upamecago.,Blue,70,
794,307,285,SAMIR-ESKIMAL,Blue,7,
795,307,286,batipibe,Red,119,
796,307,287,kaka',Blue,153,
797,307,288,Lamine Yamal,Blue,159,
798,308,288,Lamine Yamal,Blue,60,
799,308,290,gOdblEss',Red,66,
800,308,283,TONAS CON THANOS,Red,106,
801,308,286,batipibe,Blue,117,
802,308,289,Manuu,Red,180,
803,309,290,gOdblEss',Red,183,
804,311,286,batipibe,Red,18,
805,311,288,Lamine Yamal,Red,128,
806,312,290,gOdblEss',Blue,59,
807,312,285,SAMIR-ESKIMAL,Red,116,
808,312,289,Manuu,Blue,149,
809,312,292,Francescoli,Blue,175,
810,313,293,Seek,Blue,7,
811,314,286,batipibe,Blue,36,
812,314,294,dibu martinez,Blue,44,
813,315,297,Tortuga🐢,Red,8,
814,315,285,SAMIR-ESKIMAL,Red,35,
815,315,285,SAMIR-ESKIMAL,Blue,106,
816,316,297,Tortuga🐢,Blue,55,
817,316,292,Francescoli,Blue,173,
818,318,285,SAMIR-ESKIMAL,Red,36,
819,318,292,Francescoli,Blue,87,
820,318,286,batipibe,Blue,138,
821,318,2,tnt,Red,149,
822,318,299,Uber manija (BOL),Blue,159,
823,319,286,batipibe,Blue,24,
824,319,292,Francescoli,Blue,33,
825,319,285,SAMIR-ESKIMAL,Red,154,
826,319,286,batipibe,Blue,162,
827,320,285,SAMIR-ESKIMAL,Red,20,
828,320,286,batipibe,Red,73,
829,320,296,Juaniperlender,Blue,115,
830,320,296,Juaniperlender,Blue,136,
831,320,285,SAMIR-ESKIMAL,Red,147,
832,322,285,SAMIR-ESKIMAL,Blue,87,
833,322,297,Tortuga🐢,Red,152,
834,322,40, ,Red,156,
835,323,304,ErikSsj,Red,152,
836,323,303,norun ,Red,171,
837,324,285,SAMIR-ESKIMAL,Blue,15,
838,324,297,Tortuga🐢,Red,156,
839,324,305,tronquito,Blue,195,
840,325,308,Maxi,Red,13,
841,325,297,Tortuga🐢,Blue,132,
842,325,305,tronquito,Blue,159,
843,325,298,nari,Blue,167,
844,326,285,SAMIR-ESKIMAL,Red,7,
845,327,297,Tortuga🐢,Blue,82,
